dataset_id,trial_id,record_id,country,adm1,adm2,adm3,location,site,longitude,latitude,elevation,planting_date,harvest_date,on_farm,is_survey,treatment,rep,crop,variety,yield_part,yield,irrigated,pathogen,AUDPC,rAUDPC
doi_10.21223_P3_TNNRYW,1,1,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP377744.1,tubers,24333.3333333333,FALSE,Phytophthora infestans,10.15,0.3171875
doi_10.21223_P3_TNNRYW,1,2,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP377744.1,tubers,,FALSE,Phytophthora infestans,13.2,0.4125
doi_10.21223_P3_TNNRYW,1,3,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP381400.22,tubers,5166.66666666667,FALSE,Phytophthora infestans,27.1,0.846875
doi_10.21223_P3_TNNRYW,1,4,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP381400.22,tubers,3333.33333333333,FALSE,Phytophthora infestans,24.8,0.775
doi_10.21223_P3_TNNRYW,1,5,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP382178.14,tubers,12833.3333333333,FALSE,Phytophthora infestans,20.75,0.6484375
doi_10.21223_P3_TNNRYW,1,6,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP382178.14,tubers,19500,FALSE,Phytophthora infestans,15.6,0.4875
doi_10.21223_P3_TNNRYW,1,7,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP384866.5,tubers,25500,FALSE,Phytophthora infestans,16.35,0.5109375
doi_10.21223_P3_TNNRYW,1,8,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP384866.5,tubers,21333.3333333333,FALSE,Phytophthora infestans,16.8,0.525
doi_10.21223_P3_TNNRYW,1,9,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP386206.4,tubers,1333.33333333333,FALSE,Phytophthora infestans,24.05,0.7515625
doi_10.21223_P3_TNNRYW,1,10,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP386206.4,tubers,1333.33333333333,FALSE,Phytophthora infestans,25.25,0.7890625
doi_10.21223_P3_TNNRYW,1,11,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP386209.1,tubers,13833.3333333333,FALSE,Phytophthora infestans,15.975,0.49921875
doi_10.21223_P3_TNNRYW,1,12,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP386209.1,tubers,13666.6666666667,FALSE,Phytophthora infestans,18.35,0.5734375
doi_10.21223_P3_TNNRYW,1,13,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP386209.10,tubers,13666.6666666667,FALSE,Phytophthora infestans,5,0.15625
doi_10.21223_P3_TNNRYW,1,14,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP386209.10,tubers,16000,FALSE,Phytophthora infestans,7.425,0.23203125
doi_10.21223_P3_TNNRYW,1,15,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP386209.15,tubers,15000,FALSE,Phytophthora infestans,7.5,0.234375
doi_10.21223_P3_TNNRYW,1,16,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP386209.15,tubers,10000,FALSE,Phytophthora infestans,6.6,0.20625
doi_10.21223_P3_TNNRYW,1,17,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387004.13,tubers,7166.66666666667,FALSE,Phytophthora infestans,17.025,0.53203125
doi_10.21223_P3_TNNRYW,1,18,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387004.13,tubers,9166.66666666667,FALSE,Phytophthora infestans,19.55,0.6109375
doi_10.21223_P3_TNNRYW,1,19,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387004.4,tubers,21666.6666666667,FALSE,Phytophthora infestans,18.175,0.56796875
doi_10.21223_P3_TNNRYW,1,20,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387004.4,tubers,16833.3333333333,FALSE,Phytophthora infestans,18.55,0.5796875
doi_10.21223_P3_TNNRYW,1,21,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387015.12,tubers,27000,FALSE,Phytophthora infestans,22.1,0.690625
doi_10.21223_P3_TNNRYW,1,22,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387015.12,tubers,17833.3333333333,FALSE,Phytophthora infestans,22.25,0.6953125
doi_10.21223_P3_TNNRYW,1,23,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387015.13,tubers,9166.66666666667,FALSE,Phytophthora infestans,24.15,0.7546875
doi_10.21223_P3_TNNRYW,1,24,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387015.13,tubers,10500,FALSE,Phytophthora infestans,25.95,0.8109375
doi_10.21223_P3_TNNRYW,1,25,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387132.2,tubers,6833.33333333333,FALSE,Phytophthora infestans,27.1,0.846875
doi_10.21223_P3_TNNRYW,1,26,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387132.2,tubers,5500,FALSE,Phytophthora infestans,25.95,0.8109375
doi_10.21223_P3_TNNRYW,1,27,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387136.14,tubers,14000,FALSE,Phytophthora infestans,18.175,0.56796875
doi_10.21223_P3_TNNRYW,1,28,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387136.14,tubers,15666.6666666667,FALSE,Phytophthora infestans,20.175,0.63046875
doi_10.21223_P3_TNNRYW,1,29,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387143.22,tubers,15666.6666666667,FALSE,Phytophthora infestans,20.4,0.6375
doi_10.21223_P3_TNNRYW,1,30,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387143.22,tubers,12166.6666666667,FALSE,Phytophthora infestans,20.25,0.6328125
doi_10.21223_P3_TNNRYW,1,31,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387164.4,tubers,59000,FALSE,Phytophthora infestans,1.6,0.05
doi_10.21223_P3_TNNRYW,1,32,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387164.4,tubers,56333.3333333333,FALSE,Phytophthora infestans,1.7,0.053125
doi_10.21223_P3_TNNRYW,1,33,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387169.2,tubers,46000,FALSE,Phytophthora infestans,11.575,0.36171875
doi_10.21223_P3_TNNRYW,1,34,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387169.2,tubers,47666.6666666667,FALSE,Phytophthora infestans,,
doi_10.21223_P3_TNNRYW,1,35,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387170.16,tubers,54500,FALSE,Phytophthora infestans,1.6,0.05
doi_10.21223_P3_TNNRYW,1,36,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387170.16,tubers,54833.3333333333,FALSE,Phytophthora infestans,2.225,0.06953125
doi_10.21223_P3_TNNRYW,1,37,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387170.6,tubers,29333.3333333333,FALSE,Phytophthora infestans,1.075,0.03359375
doi_10.21223_P3_TNNRYW,1,38,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387170.6,tubers,25666.6666666667,FALSE,Phytophthora infestans,1.775,0.05546875
doi_10.21223_P3_TNNRYW,1,39,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387170.9,tubers,34333.3333333333,FALSE,Phytophthora infestans,1.075,0.03359375
doi_10.21223_P3_TNNRYW,1,40,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387170.9,tubers,35333.3333333333,FALSE,Phytophthora infestans,1.075,0.03359375
doi_10.21223_P3_TNNRYW,1,41,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387205.5,tubers,21833.3333333333,FALSE,Phytophthora infestans,7.675,0.23984375
doi_10.21223_P3_TNNRYW,1,42,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387205.5,tubers,17333.3333333333,FALSE,Phytophthora infestans,13.425,0.41953125
doi_10.21223_P3_TNNRYW,1,43,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387231.7,tubers,14333.3333333333,FALSE,Phytophthora infestans,20.2,0.63125
doi_10.21223_P3_TNNRYW,1,44,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387231.7,tubers,17333.3333333333,FALSE,Phytophthora infestans,19.45,0.6078125
doi_10.21223_P3_TNNRYW,1,45,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387303.71,tubers,4333.33333333333,FALSE,Phytophthora infestans,27.35,0.8546875
doi_10.21223_P3_TNNRYW,1,46,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387303.71,tubers,3000,FALSE,Phytophthora infestans,27.1,0.846875
doi_10.21223_P3_TNNRYW,1,47,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387312.2,tubers,7333.33333333333,FALSE,Phytophthora infestans,26.85,0.8390625
doi_10.21223_P3_TNNRYW,1,48,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387312.2,tubers,7500,FALSE,Phytophthora infestans,23.525,0.73515625
doi_10.21223_P3_TNNRYW,1,49,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387315.27,tubers,13666.6666666667,FALSE,Phytophthora infestans,18.55,0.5796875
doi_10.21223_P3_TNNRYW,1,50,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387315.27,tubers,12333.3333333333,FALSE,Phytophthora infestans,19.25,0.6015625
doi_10.21223_P3_TNNRYW,1,51,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387326.2,tubers,8500,FALSE,Phytophthora infestans,26.2,0.81875
doi_10.21223_P3_TNNRYW,1,52,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387326.2,tubers,11166.6666666667,FALSE,Phytophthora infestans,24.05,0.7515625
doi_10.21223_P3_TNNRYW,1,53,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387334.5,tubers,14833.3333333333,FALSE,Phytophthora infestans,11.575,0.36171875
doi_10.21223_P3_TNNRYW,1,54,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387334.5,tubers,13333.3333333333,FALSE,Phytophthora infestans,14.65,0.4578125
doi_10.21223_P3_TNNRYW,1,55,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387338.3,tubers,9833.33333333333,FALSE,Phytophthora infestans,21.35,0.6671875
doi_10.21223_P3_TNNRYW,1,56,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387338.3,tubers,10500,FALSE,Phytophthora infestans,22,0.6875
doi_10.21223_P3_TNNRYW,1,57,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387348.20,tubers,5666.66666666667,FALSE,Phytophthora infestans,19.7,0.615625
doi_10.21223_P3_TNNRYW,1,58,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387348.20,tubers,6000,FALSE,Phytophthora infestans,17.525,0.54765625
doi_10.21223_P3_TNNRYW,1,59,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387410.7,tubers,5000,FALSE,Phytophthora infestans,22.1,0.690625
doi_10.21223_P3_TNNRYW,1,60,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387410.7,tubers,7000,FALSE,Phytophthora infestans,23.775,0.74296875
doi_10.21223_P3_TNNRYW,1,61,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387411.40,tubers,13833.3333333333,FALSE,Phytophthora infestans,12.55,0.3921875
doi_10.21223_P3_TNNRYW,1,62,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387411.40,tubers,15166.6666666667,FALSE,Phytophthora infestans,16.5,0.515625
doi_10.21223_P3_TNNRYW,1,63,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387411.41,tubers,6666.66666666667,FALSE,Phytophthora infestans,22.25,0.6953125
doi_10.21223_P3_TNNRYW,1,64,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387411.41,tubers,4666.66666666667,FALSE,Phytophthora infestans,23.8,0.74375
doi_10.21223_P3_TNNRYW,1,65,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387411.49,tubers,3500,FALSE,Phytophthora infestans,16.3,0.509375
doi_10.21223_P3_TNNRYW,1,66,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387411.49,tubers,1666.66666666667,FALSE,Phytophthora infestans,16,0.5
doi_10.21223_P3_TNNRYW,1,67,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387413.21,tubers,11000,FALSE,Phytophthora infestans,19.9,0.621875
doi_10.21223_P3_TNNRYW,1,68,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387413.21,tubers,7500,FALSE,Phytophthora infestans,24.05,0.7515625
doi_10.21223_P3_TNNRYW,1,69,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387413.54,tubers,8333.33333333333,FALSE,Phytophthora infestans,25.7,0.803125
doi_10.21223_P3_TNNRYW,1,70,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387413.54,tubers,8166.66666666667,FALSE,Phytophthora infestans,25.95,0.8109375
doi_10.21223_P3_TNNRYW,1,71,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.26,tubers,5500,FALSE,Phytophthora infestans,26.45,0.8265625
doi_10.21223_P3_TNNRYW,1,72,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.26,tubers,7500,FALSE,Phytophthora infestans,26.85,0.8390625
doi_10.21223_P3_TNNRYW,1,73,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.32,tubers,14666.6666666667,FALSE,Phytophthora infestans,26.6,0.83125
doi_10.21223_P3_TNNRYW,1,74,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.32,tubers,11000,FALSE,Phytophthora infestans,26.6,0.83125
doi_10.21223_P3_TNNRYW,1,75,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.40,tubers,5833.33333333333,FALSE,Phytophthora infestans,27.1,0.846875
doi_10.21223_P3_TNNRYW,1,76,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.40,tubers,7500,FALSE,Phytophthora infestans,27.35,0.8546875
doi_10.21223_P3_TNNRYW,1,77,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.47,tubers,8333.33333333333,FALSE,Phytophthora infestans,28.05,0.8765625
doi_10.21223_P3_TNNRYW,1,78,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.47,tubers,6333.33333333333,FALSE,Phytophthora infestans,29,0.90625
doi_10.21223_P3_TNNRYW,1,79,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.6,tubers,5166.66666666667,FALSE,Phytophthora infestans,23.4,0.73125
doi_10.21223_P3_TNNRYW,1,80,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.6,tubers,3666.66666666667,FALSE,Phytophthora infestans,26.7,0.834375
doi_10.21223_P3_TNNRYW,1,81,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.7,tubers,6166.66666666667,FALSE,Phytophthora infestans,25.3,0.790625
doi_10.21223_P3_TNNRYW,1,82,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.7,tubers,4833.33333333333,FALSE,Phytophthora infestans,26.2,0.81875
doi_10.21223_P3_TNNRYW,1,83,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP389746.2,tubers,43000,FALSE,Phytophthora infestans,6.5,0.203125
doi_10.21223_P3_TNNRYW,1,84,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP389746.2,tubers,38833.3333333333,FALSE,Phytophthora infestans,8.025,0.25078125
doi_10.21223_P3_TNNRYW,1,85,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP390357.4,tubers,8166.66666666667,FALSE,Phytophthora infestans,23.15,0.7234375
doi_10.21223_P3_TNNRYW,1,86,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP390357.4,tubers,9333.33333333333,FALSE,Phytophthora infestans,24.05,0.7515625
doi_10.21223_P3_TNNRYW,1,87,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP720064,tubers,4833.33333333333,FALSE,Phytophthora infestans,25.2,0.7875
doi_10.21223_P3_TNNRYW,1,88,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP720064,tubers,7333.33333333333,FALSE,Phytophthora infestans,25.575,0.79921875
